test_name,renderer,vendor_id,device_id,api,api_version,width,height,fullscreen,duration_ms,score,avg_fps
(GL) msi-01,GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 430.86,1920,1080,YES,60000,2876,48
(GL) msi-02 (PhysX4 CPU - medium),GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 430.86,1920,1080,YES,60000,11264,605
(GL) FurMark-MSI,GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 430.86,1920,1080,YES,60000,9287,154
(GL) msi-02 (PhysX4 CPU - medium),GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 430.86,1920,1080,YES,60000,11355,612
(GL) msi-01,GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 430.86,1920,1080,YES,60000,2885,48
(GL) msi-01,GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 430.86,1920,1080,YES,60000,2850,47
(GL) FurMark-Donut-1700MB,GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 430.86,1920,1080,YES,60000,2750,45
(GL) msi-02 (PhysX4 CPU - medium),GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 430.86,1920,1080,YES,60000,11363,609
(GL) msi-02 (PhysX4 CPU - medium),GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 430.86,1920,1080,YES,60000,11458,620
(GL) msi-02 (PhysX4 CPU - medium),GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 430.86,1920,1080,YES,60000,11411,620
(GL) msi-02 (PhysX4 GPU - medium),GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 441.87,1920,1080,YES,60000,9824,541
(GL) msi-02 (PhysX4 GPU - medium),GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 441.87,1920,1080,NO,10000,13295,671
(GL) msi-02 (PhysX4 CPU - medium),GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 441.87,1920,1080,NO,10000,14356,593
(GL) msi-02 (PhysX4 GPU - medium),GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 441.87,1920,1080,YES,60000,10557,594
(GL) msi-01,GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 457.44,1920,1080,YES,60000,2909,48
(GL) msi-01,GeForce RTX 2070/PCIe/SSE2,0,0,OpenGL,4.6.0 NVIDIA 460.89,1920,1080,YES,60000,2849,47
