time, frame, gpu, width, height, FPS, core_temp, core_load, gpu_power, core_clock, mem_clock
1.006, 150, GeForce RTX 2070, 1920, 1080, 150, 52.0, 14.0, 99.0, 1665.0, 7000.0
2.008, 300, GeForce RTX 2070, 1920, 1080, 150, 53.0, 97.0, 98.8, 1635.0, 7000.0
3.014, 449, GeForce RTX 2070, 1920, 1080, 149, 54.0, 98.0, 98.7, 1635.0, 7000.0
4.018, 597, GeForce RTX 2070, 1920, 1080, 148, 54.0, 98.0, 97.4, 1650.0, 7000.0
5.022, 746, GeForce RTX 2070, 1920, 1080, 149, 55.0, 98.0, 99.3, 1635.0, 7000.0
6.024, 896, GeForce RTX 2070, 1920, 1080, 150, 55.0, 98.0, 98.3, 1620.0, 7000.0
7.028, 1044, GeForce RTX 2070, 1920, 1080, 148, 56.0, 98.0, 98.8, 1635.0, 7000.0
8.034, 1196, GeForce RTX 2070, 1920, 1080, 152, 56.0, 98.0, 98.5, 1635.0, 7000.0
9.034, 1345, GeForce RTX 2070, 1920, 1080, 149, 57.0, 98.0, 99.4, 1605.0, 7000.0
10.040, 1493, GeForce RTX 2070, 1920, 1080, 148, 57.0, 98.0, 98.5, 1620.0, 7000.0
